Participant_ID,cue,age,gender,hispanic,race,education,income,location,shoppingfreq,perceived_decision_pressure,perceived_authenticity_of_product,perceived_cue_influence,decision_confidence,perceived_manipulativeness,Participant_ID,Condition,Context,Product,wtp,purchase_intent_score,value_score,trust_score
13415287.0,No Cue,18–24 years old,Female,No,Asian,"Bachelor's degree (e.g., BA, BS)","$20,000–$39,999",Yes,2–3 times a month,2,5,4,5,4,13415287.0,none,hedonic,chocolate,25.0,5.0,5.0,5.0
13415287.0,No Cue,18–24 years old,Female,No,Asian,"Bachelor's degree (e.g., BA, BS)","$20,000–$39,999",Yes,2–3 times a month,2,5,4,5,4,13415287.0,none,hedonic,headphones,50.0,5.0,3.0,4.0
13415287.0,No Cue,18–24 years old,Female,No,Asian,"Bachelor's degree (e.g., BA, BS)","$20,000–$39,999",Yes,2–3 times a month,2,5,4,5,4,13415287.0,none,utilitarian,chocolate,10.0,5.0,5.0,5.0
13415287.0,No Cue,18–24 years old,Female,No,Asian,"Bachelor's degree (e.g., BA, BS)","$20,000–$39,999",Yes,2–3 times a month,2,5,4,5,4,13415287.0,none,utilitarian,headphones,20.0,2.0,2.0,3.0
13415294.0,P+S,18–24 years old,Female,No,Asian,"Master's degree (e.g., MA, MS, MBA)","Less than $20,000",Yes,About once a month,3,4,3,5,3,13415294.0,both,hedonic,chocolate,16.0,2.0,2.0,2.0
13415294.0,P+S,18–24 years old,Female,No,Asian,"Master's degree (e.g., MA, MS, MBA)","Less than $20,000",Yes,About once a month,3,4,3,5,3,13415294.0,both,hedonic,headphones,120.0,4.0,4.0,4.0
13415294.0,P+S,18–24 years old,Female,No,Asian,"Master's degree (e.g., MA, MS, MBA)","Less than $20,000",Yes,About once a month,3,4,3,5,3,13415294.0,both,utilitarian,chocolate,12.0,4.0,3.0,3.0
13415294.0,P+S,18–24 years old,Female,No,Asian,"Master's degree (e.g., MA, MS, MBA)","Less than $20,000",Yes,About once a month,3,4,3,5,3,13415294.0,both,utilitarian,headphones,80.0,2.0,2.0,3.0
13415326.0,Popularity,25–34 years old,Male,No,Asian,"Bachelor's degree (e.g., BA, BS)","Less than $20,000",Yes,2–3 times a month,3,5,3,5,3,13415326.0,popularity,hedonic,chocolate,7.0,5.0,4.0,5.0
13415326.0,Popularity,25–34 years old,Male,No,Asian,"Bachelor's degree (e.g., BA, BS)","Less than $20,000",Yes,2–3 times a month,3,5,3,5,3,13415326.0,popularity,hedonic,headphones,50.0,6.0,5.0,5.0
13415326.0,Popularity,25–34 years old,Male,No,Asian,"Bachelor's degree (e.g., BA, BS)","Less than $20,000",Yes,2–3 times a month,3,5,3,5,3,13415326.0,popularity,utilitarian,chocolate,3.0,6.0,3.0,5.0
13415326.0,Popularity,25–34 years old,Male,No,Asian,"Bachelor's degree (e.g., BA, BS)","Less than $20,000",Yes,2–3 times a month,3,5,3,5,3,13415326.0,popularity,utilitarian,headphones,25.0,3.0,3.0,5.0
13415333.0,Scarcity,18–24 years old,Female,No,Asian,"Bachelor's degree (e.g., BA, BS)","Less than $20,000",No,About once a month,4,5,5,6,6,13415333.0,scarcity,hedonic,chocolate,5.0,3.0,3.0,4.0
13415333.0,Scarcity,18–24 years old,Female,No,Asian,"Bachelor's degree (e.g., BA, BS)","Less than $20,000",No,About once a month,4,5,5,6,6,13415333.0,scarcity,hedonic,headphones,50.0,2.0,3.0,3.0
13415333.0,Scarcity,18–24 years old,Female,No,Asian,"Bachelor's degree (e.g., BA, BS)","Less than $20,000",No,About once a month,4,5,5,6,6,13415333.0,scarcity,utilitarian,chocolate,2.0,2.0,2.0,2.0
